cache_size,alphabet_size,cache_ratio,avg_hit_rate,avg_miss_rate,avg_runtime,avg_memory_usage,theoretical_hit_rate,hit_rate_difference
1,100,0.01,0.010112,0.989888,0.05319051742553711,32.0,0.01,0.00011199999999999925
5,100,0.05,0.050286,0.949714,0.05435366630554199,160.0,0.05,0.0002859999999999946
10,100,0.1,0.10030399999999999,0.899696,0.0572235107421875,320.0,0.1,0.00030399999999998484
20,100,0.2,0.200888,0.799112,0.05138835906982422,640.0,0.2,0.0008879999999999999
40,100,0.4,0.399102,0.6008979999999999,0.04307446479797363,1280.0,0.4,0.0008980000000000099
60,100,0.6,0.599732,0.40026799999999996,0.03785238265991211,1920.0,0.6,0.00026799999999993496
80,100,0.8,0.7992119999999999,0.20078800000000008,0.030926990509033202,2560.0,0.8,0.0007880000000001219
100,100,1.0,0.999,0.0010000000000000009,0.023608589172363283,3200.0,1.0,0.0010000000000000009
5,500,0.01,0.010218,0.989782,0.05792360305786133,160.0,0.01,0.00021799999999999944
25,500,0.05,0.050466,0.949534,0.054525327682495114,800.0,0.05,0.0004659999999999942
50,500,0.1,0.099834,0.900166,0.05488486289978027,1600.0,0.1,0.00016599999999999948
100,500,0.2,0.199642,0.800358,0.05128035545349121,3200.0,0.2,0.00035800000000002496
200,500,0.4,0.39929,0.6007100000000001,0.047524213790893555,6400.0,0.4,0.0007100000000000439
300,500,0.6,0.5986719999999999,0.40132800000000013,0.041971445083618164,9600.0,0.6,0.0013280000000001069
400,500,0.8,0.797732,0.202268,0.034842395782470705,12800.0,0.8,0.0022680000000000478
500,500,1.0,0.9949999999999999,0.0050000000000001155,0.02494988441467285,16000.0,1.0,0.0050000000000001155
10,1000,0.01,0.009963999999999999,0.990036,0.06097564697265625,320.0,0.01,3.600000000000131e-05
50,1000,0.05,0.05009399999999999,0.949906,0.055890130996704104,1600.0,0.05,9.399999999998992e-05
100,1000,0.1,0.099854,0.900146,0.05701169967651367,3200.0,0.1,0.00014600000000000724
200,1000,0.2,0.200398,0.799602,0.053132057189941406,6400.0,0.2,0.0003979999999999817
400,1000,0.4,0.39908200000000005,0.600918,0.048948478698730466,12800.0,0.4,0.0009179999999999744
600,1000,0.6,0.598554,0.40144599999999997,0.04250936508178711,19200.0,0.6,0.0014459999999999473
800,1000,0.8,0.795308,0.20469199999999999,0.03478779792785645,25600.0,0.8,0.0046920000000000295
1000,1000,1.0,0.99,0.010000000000000009,0.025559043884277342,32000.0,1.0,0.010000000000000009
50,5000,0.01,0.009968,0.990032,0.05850472450256348,1600.0,0.01,3.200000000000078e-05
250,5000,0.05,0.04961600000000001,0.950384,0.06937365531921387,8000.0,0.05,0.00038399999999999546
500,5000,0.1,0.09934,0.90066,0.06388120651245117,16000.0,0.1,0.0006600000000000078
1000,5000,0.2,0.198458,0.801542,0.05614714622497559,32000.0,0.2,0.0015420000000000156
2000,5000,0.4,0.39593,0.60407,0.04985289573669434,64000.0,0.4,0.004070000000000018
3000,5000,0.6,0.588016,0.411984,0.04353518486022949,96000.0,0.6,0.011983999999999995
4000,5000,0.8,0.7754900000000001,0.22450999999999988,0.03626780509948731,128000.0,0.8,0.02450999999999992
5000,5000,1.0,0.95,0.050000000000000044,0.027864694595336914,160000.0,1.0,0.050000000000000044
